"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6ByJ,C57BL/6ByJ_SE,BALB/cByJ,BALB/cByJ_SE,CBF1,CBF1_SE,BCF1,BCF1_SE,CXB1,CXB1_SE,CXB2,CXB2_SE,CXB3,CXB3_SE,CXB4,CXB4_SE,CXB5,CXB5_SE,CXB6,CXB6_SE,CXB7,CXB7_SE,CXB8,CXB8_SE,CXB9,CXB9_SE,CXB10,CXB10_SE,CXB11,CXB11_SE,CXB12,CXB12_SE,CXB13,CXB13_SE
1,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=UCLA_CXB_Aor_Jan16,mouse,CXB,UCLA_CXB_Aor_Jan16,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,8,3.312881,rs3694261,9.93082342913503,0.868,7.402244461907281,x,x,x,x,x,x,x,x,7.3815,0.0327465,7.2973,0.08621,7.4243,0.104001,x,x,x,x,7.2965,0.0876489,7.504,0.107479,7.3515,0.146676,x,x,x,x,7.588,,7.4083,0.0893015,7.3688,0.0760897
2,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=HC_M2CB_1205_R,mouse,CXB,HC_M2CB_1205_R,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,7,104.807851,gnf07.094.979,9.156054974883391,0.688,9.14257142857143,9.002,0.16,8.926,,x,x,x,x,9.258,0.026,8.969,0.091,9.34,0.231,9.257,0.316,9.446,0.096,9.209,0.239,9.229,0.271,9.485,0.104,9.293,0.085,9.536,0.214,9.345,0.098,9.393,0.104,9.319,0.336
3,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=STSPL_1107_R,mouse,CXB,STSPL_1107_R,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,6,56.518389,CEL-6_56528034,8.220432752405099,0.688,8.81044466666667,8.81343,0.0573746,8.65004,0.162567,x,x,x,x,8.53453,0.004278,8.6556,0.141004,8.83733,0.00297338,8.91688,0.0158003,9.04474,0.0203576,9.01277,0.183374,8.94608,0.165477,8.80707,0.128425,9.78371,0.703423,8.58117,0.205789,8.37267,0.007612,8.31143,0.12373,8.88922,0.0168327
4,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=UCLA_CXB_Liv_Jan16,mouse,CXB,UCLA_CXB_Liv_Jan16,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,12,102.995319,D12Mit7,11.9629550774907,0.277,7.320750057697296,x,x,x,x,x,x,x,x,x,x,7.343,0.13435,7.326,0.009192,x,x,x,x,7.298,0.019799,7.314,0.121546,7.247,0.100614,x,x,x,x,7.31,,7.231,0.086267,7.497,0.230517
5,https://genenetwork.org/show_trait?trait_id=1437374_at&dataset=HC_M2CB_1205_P,mouse,CXB,HC_M2CB_1205_P,1437374_at,4632433K11Rik,"immune system expression, C2H2 type zinc finger protein, RIKEN cDNA 4632433K11; 3' UTR",3' UTR,N/A,7,5.032685,"4632433K11Rik, LOC319748",77043,N/A,Mm.349546,+,11.15,223.0,5.032685,5.032929,,,rs13481756,10.062034550380702,0.558,6.92557142857143,6.878,0.014,6.677,,x,x,x,x,6.925,0.06,6.728,0.242,7.074,0.176,6.899,0.262,7.25,0.298,7.091,0.11,7.003,0.312,7.298,0.136,7.033,0.198,7.219,0.118,7.103,0.07,7.045,0.138,7.048,0.334
6,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=UCLA_CXB_Aor_Jan16,mouse,CXB,UCLA_CXB_Aor_Jan16,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,11,39.697732,rs3692365,10.9592029689584,0.552,6.534011152055529,x,x,x,x,x,x,x,x,6.3118,0.0838562,6.6307,0.186578,6.5075,0.100909,x,x,x,x,6.4465,0.0712655,6.6508,0.0894792,6.7735,0.103963,x,x,x,x,6.519,,6.4498,0.135466,6.5165,0.0678765
7,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=HC_M2CB_1205_R,mouse,CXB,HC_M2CB_1205_R,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,16,38.803746,rs4174828,12.2875816738345,0.421,7.6615,7.692,0.041,7.622,,x,x,x,x,7.624,0.017,7.748,0.117,7.715,0.08,7.833,0.066,7.658,0.076,7.689,0.02,7.774,0.018,7.775,0.06,7.876,0.051,7.697,0.165,7.767,0.074,7.706,0.042,7.665,0.084
8,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=STSPL_1107_R,mouse,CXB,STSPL_1107_R,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,16,96.722862,rs4221305,10.1758176089014,0.726,8.75918666666667,8.72187,0.0662099,8.7013,0.034878,x,x,x,x,8.66399,0.0759822,8.608,0.0467044,8.73433,0.01597,8.86502,0.316208,8.72375,0.109453,8.71988,0.00791252,9.03251,0.0718527,8.86113,0.048161,8.73098,0.000936916,8.78922,0.073327,8.64899,0.00556847,8.73293,0.035426,8.8539,0.0944978
9,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=UCLA_CXB_Liv_Jan16,mouse,CXB,UCLA_CXB_Liv_Jan16,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,,,UT_6_102.533298,13.6460616199398,0.32,6.593124985694885,x,x,x,x,x,x,x,x,x,x,6.551,0.06364,6.677,0.210011,x,x,x,x,6.652,0.016971,6.69,0.07577,6.608,0.110173,x,x,x,x,6.705,,6.415,0.066468,6.447,0.125865
10,https://genenetwork.org/show_trait?trait_id=1425238_at&dataset=HC_M2CB_1205_P,mouse,CXB,HC_M2CB_1205_P,1425238_at,BC011413,"similar to ribosomal protein S20 (high expression in immune system, downstream of Anln); far 3' UTR (or short downstream gene BC011413)",far 3' UTR (or short downstream gene BC011413),N/A,9,22.330146,"1110037A17Rik, 2900037I21Rik, ANILLIN, Scraps, BC011413",68743,N/A,Mm.282751,-,6.161290323,191.0,22.330146,22.330586,,,rs4176313,9.482953007886621,0.801,7.2852142857142805,7.338,0.017,7.258,,x,x,x,x,7.281,0.107,7.391,0.018,7.278,0.16,7.562,0.005,7.284,0.108,7.304,0.106,7.437,0.049,7.337,0.058,7.611,0.057,7.368,0.048,7.324,0.048,7.396,0.165,7.255,0.092
