chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	 Rasrelated associated with diabetes 
1	rs31443144	3010274	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs6269442	3492195	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs32285189	3511204	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs258367496	3659804	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs32430919	3777023	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs36251697	3812265	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs30658298	4430623	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs31879829	4518714	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs36742481	4776319	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs6365999	4820983	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
1	rs13470446	4846561	0	X	Y	0.263	-2.524401e+00	2.824073e+00	1.000000e-05	3.722972e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000111	-9	0	X	Y	0.267	-2.542929e+00	2.813723e+00	1.000000e-05	3.670484e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000112	-9	0	X	Y	0.271	-2.618741e+00	2.844784e+00	1.000000e-05	3.582341e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000008	-9	0	X	Y	0.268	-2.533810e+00	2.821414e+00	1.000000e-05	3.700706e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000002	-9	0	X	Y	0.268	-2.533810e+00	2.821414e+00	1.000000e-05	3.700706e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000009	-9	0	X	Y	0.268	-2.533810e+00	2.821414e+00	1.000000e-05	3.700706e-01	0	 Rasrelated associated with diabetes 
1	rs6376963	5018010	0	X	Y	0.270	-2.802736e+00	2.822385e+00	1.000000e-05	3.217127e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000120	-9	0	X	Y	0.270	-2.802736e+00	2.822385e+00	1.000000e-05	3.217127e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000010	-9	0	X	Y	0.272	-2.642233e+00	2.825330e+00	1.000000e-05	3.506481e-01	0	 Rasrelated associated with diabetes 
1	rs30847416	5025197	0	X	Y	0.272	-2.642233e+00	2.825330e+00	1.000000e-05	3.506481e-01	0	 Rasrelated associated with diabetes 
1	rs31625087	5119671	0	X	Y	0.272	-2.642233e+00	2.825330e+00	1.000000e-05	3.506481e-01	0	 Rasrelated associated with diabetes 
1	rs31716357	5155818	0	X	Y	0.272	-2.642233e+00	2.825330e+00	1.000000e-05	3.506481e-01	0	 Rasrelated associated with diabetes 
1	rs3677817	5185979	0	X	Y	0.272	-2.642233e+00	2.825330e+00	1.000000e-05	3.506481e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000121	-9	0	X	Y	0.271	-2.738960e+00	2.817017e+00	1.000000e-05	3.319056e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000011	-9	0	X	Y	0.269	-2.529081e+00	2.815699e+00	1.000000e-05	3.699945e-01	0	 Rasrelated associated with diabetes 
1	rs47937185	5316776	0	X	Y	0.269	-2.529081e+00	2.815699e+00	1.000000e-05	3.699945e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000012	-9	0	X	Y	0.269	-2.529081e+00	2.815699e+00	1.000000e-05	3.699945e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000148	-9	0	X	Y	0.269	-2.529081e+00	2.815699e+00	1.000000e-05	3.699945e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000013	-9	0	X	Y	0.278	-2.387369e+00	2.848340e+00	1.000000e-05	4.027917e-01	0	 Rasrelated associated with diabetes 
1	rs32140280	5641533	0	X	Y	0.278	-2.387369e+00	2.848340e+00	1.000000e-05	4.027917e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000014	-9	0	X	Y	0.278	-2.387369e+00	2.848340e+00	1.000000e-05	4.027917e-01	0	 Rasrelated associated with diabetes 
1	rs32096391	6097778	0	X	Y	0.280	-2.508649e+00	2.856483e+00	1.000000e-05	3.807160e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000015	-9	0	X	Y	0.280	-2.508649e+00	2.856483e+00	1.000000e-05	3.807160e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000176	-9	0	X	Y	0.280	-2.508649e+00	2.856483e+00	1.000000e-05	3.807160e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000016	-9	0	X	Y	0.282	-2.488807e+00	2.859989e+00	1.000000e-05	3.850706e-01	0	 Rasrelated associated with diabetes 
1	rs47493511	6357478	0	X	Y	0.282	-2.488807e+00	2.859989e+00	1.000000e-05	3.850706e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000180	-9	0	X	Y	0.282	-2.488807e+00	2.859989e+00	1.000000e-05	3.850706e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000017	-9	0	X	Y	0.284	-2.608264e+00	2.863220e+00	1.000000e-05	3.632526e-01	0	 Rasrelated associated with diabetes 
1	rs31190522	6747440	0	X	Y	0.284	-2.608264e+00	2.863220e+00	1.000000e-05	3.632526e-01	0	 Rasrelated associated with diabetes 
1	rs6298633	6830161	0	X	Y	0.284	-2.608264e+00	2.863220e+00	1.000000e-05	3.632526e-01	0	 Rasrelated associated with diabetes 
1	rs31362910	9843988	0	X	Y	0.284	-2.608264e+00	2.863220e+00	1.000000e-05	3.632526e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000184	-9	0	X	Y	0.284	-2.643573e+00	2.863082e+00	1.000000e-05	3.567817e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000018	-9	0	X	Y	0.284	-2.643573e+00	2.863082e+00	1.000000e-05	3.567817e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000255	-9	0	X	Y	0.284	-2.643573e+00	2.863082e+00	1.000000e-05	3.567817e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000019	-9	0	X	Y	0.281	-2.405919e+00	2.851558e+00	1.000000e-05	3.996834e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000261	-9	0	X	Y	0.281	-2.405919e+00	2.851558e+00	1.000000e-05	3.996834e-01	0	 Rasrelated associated with diabetes 
1	rs31878990	10098253	0	X	Y	0.284	-2.643573e+00	2.863082e+00	1.000000e-05	3.567817e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000262	-9	0	X	Y	0.283	-2.507845e+00	2.854715e+00	1.000000e-05	3.805741e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000263	-9	0	X	Y	0.283	-2.507845e+00	2.854715e+00	1.000000e-05	3.805741e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000020	-9	0	X	Y	0.281	-2.405919e+00	2.851558e+00	1.000000e-05	3.996834e-01	0	 Rasrelated associated with diabetes 
1	rs32186775	10162992	0	X	Y	0.281	-2.405919e+00	2.851558e+00	1.000000e-05	3.996834e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000265	-9	0	X	Y	0.278	-2.191336e+00	2.849011e+00	1.000000e-05	4.425726e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000021	-9	0	X	Y	0.281	-2.530875e+00	2.851098e+00	1.000000e-05	3.756182e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000271	-9	0	X	Y	0.281	-2.530875e+00	2.851098e+00	1.000000e-05	3.756182e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000022	-9	0	X	Y	0.277	-2.222182e+00	2.854310e+00	1.000000e-05	4.370363e-01	0	 Rasrelated associated with diabetes 
