chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	 Rasrelated associated with diabetes 
1	rs31443144	3010274	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs6269442	3492195	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs32285189	3511204	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs258367496	3659804	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs32430919	3777023	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs36251697	3812265	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs30658298	4430623	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs31879829	4518714	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs36742481	4776319	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs6365999	4820983	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
1	rs13470446	4846561	0	X	Y	0.263	-2.349718e+00	4.388313e+00	5.190003e+00	5.928457e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000111	-9	0	X	Y	0.267	-2.275271e+00	4.348764e+00	5.189508e+00	6.013284e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000112	-9	0	X	Y	0.271	-3.232415e+00	4.515832e+00	5.315142e+00	4.748279e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000008	-9	0	X	Y	0.268	-3.971580e+00	4.527254e+00	5.462636e+00	3.812412e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000002	-9	0	X	Y	0.268	-3.971580e+00	4.527254e+00	5.462636e+00	3.812412e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000009	-9	0	X	Y	0.268	-3.971580e+00	4.527254e+00	5.462636e+00	3.812412e-01	0	 Rasrelated associated with diabetes 
1	rs6376963	5018010	0	X	Y	0.270	-3.515889e+00	4.546778e+00	5.374623e+00	4.401394e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000120	-9	0	X	Y	0.270	-3.515889e+00	4.546778e+00	5.374623e+00	4.401394e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000010	-9	0	X	Y	0.272	-5.716570e-01	4.575167e+00	5.215049e+00	9.006717e-01	0	 Rasrelated associated with diabetes 
1	rs30847416	5025197	0	X	Y	0.272	-5.716570e-01	4.575167e+00	5.215049e+00	9.006717e-01	0	 Rasrelated associated with diabetes 
1	rs31625087	5119671	0	X	Y	0.272	-5.716570e-01	4.575167e+00	5.215049e+00	9.006717e-01	0	 Rasrelated associated with diabetes 
1	rs31716357	5155818	0	X	Y	0.272	-5.716570e-01	4.575167e+00	5.215049e+00	9.006717e-01	0	 Rasrelated associated with diabetes 
1	rs3677817	5185979	0	X	Y	0.272	-5.716570e-01	4.575167e+00	5.215049e+00	9.006717e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000121	-9	0	X	Y	0.271	-1.475830e-01	4.565568e+00	5.214435e+00	9.742401e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000011	-9	0	X	Y	0.269	-1.347146e+00	4.598506e+00	5.269313e+00	7.698167e-01	0	 Rasrelated associated with diabetes 
1	rs47937185	5316776	0	X	Y	0.269	-1.347146e+00	4.598506e+00	5.269313e+00	7.698167e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000012	-9	0	X	Y	0.269	-1.347146e+00	4.598506e+00	5.269313e+00	7.698167e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000148	-9	0	X	Y	0.269	-1.347146e+00	4.598506e+00	5.269313e+00	7.698167e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000013	-9	0	X	Y	0.278	-2.027245e+00	4.684019e+00	5.308181e+00	6.655568e-01	0	 Rasrelated associated with diabetes 
1	rs32140280	5641533	0	X	Y	0.278	-2.027245e+00	4.684019e+00	5.308181e+00	6.655568e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000014	-9	0	X	Y	0.278	-2.027245e+00	4.684019e+00	5.308181e+00	6.655568e-01	0	 Rasrelated associated with diabetes 
1	rs32096391	6097778	0	X	Y	0.280	-2.170219e+00	4.706388e+00	5.327732e+00	6.451376e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000015	-9	0	X	Y	0.280	-2.170219e+00	4.706388e+00	5.327732e+00	6.451376e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000176	-9	0	X	Y	0.280	-2.170219e+00	4.706388e+00	5.327732e+00	6.451376e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000016	-9	0	X	Y	0.282	-1.895300e+00	4.699274e+00	5.271909e+00	6.870814e-01	0	 Rasrelated associated with diabetes 
1	rs47493511	6357478	0	X	Y	0.282	-1.895300e+00	4.699274e+00	5.271909e+00	6.870814e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000180	-9	0	X	Y	0.282	-1.895300e+00	4.699274e+00	5.271909e+00	6.870814e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000017	-9	0	X	Y	0.284	-2.528358e+00	4.736490e+00	5.341191e+00	5.939817e-01	0	 Rasrelated associated with diabetes 
1	rs31190522	6747440	0	X	Y	0.284	-2.528358e+00	4.736490e+00	5.341191e+00	5.939817e-01	0	 Rasrelated associated with diabetes 
1	rs6298633	6830161	0	X	Y	0.284	-2.528358e+00	4.736490e+00	5.341191e+00	5.939817e-01	0	 Rasrelated associated with diabetes 
1	rs31362910	9843988	0	X	Y	0.284	-2.528358e+00	4.736490e+00	5.341191e+00	5.939817e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000184	-9	0	X	Y	0.284	-1.782827e+00	4.731479e+00	5.252338e+00	7.066613e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000018	-9	0	X	Y	0.284	-1.782827e+00	4.731479e+00	5.252338e+00	7.066613e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000255	-9	0	X	Y	0.284	-1.782827e+00	4.731479e+00	5.252338e+00	7.066613e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000019	-9	0	X	Y	0.281	-1.319548e+00	4.746181e+00	5.223825e+00	7.812390e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000261	-9	0	X	Y	0.281	-1.319548e+00	4.746181e+00	5.223825e+00	7.812390e-01	0	 Rasrelated associated with diabetes 
1	rs31878990	10098253	0	X	Y	0.284	-1.782827e+00	4.731479e+00	5.252338e+00	7.066613e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000262	-9	0	X	Y	0.283	-1.364620e+00	4.682321e+00	5.229946e+00	7.709712e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000263	-9	0	X	Y	0.283	-1.364620e+00	4.682321e+00	5.229946e+00	7.709712e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000020	-9	0	X	Y	0.281	-1.319548e+00	4.746181e+00	5.223825e+00	7.812390e-01	0	 Rasrelated associated with diabetes 
1	rs32186775	10162992	0	X	Y	0.281	-1.319548e+00	4.746181e+00	5.223825e+00	7.812390e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000265	-9	0	X	Y	0.278	-9.550859e-01	4.688445e+00	5.201264e+00	8.387560e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000021	-9	0	X	Y	0.281	-9.355181e-01	4.722808e+00	5.189804e+00	8.431497e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000271	-9	0	X	Y	0.281	-9.355181e-01	4.722808e+00	5.189804e+00	8.431497e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000022	-9	0	X	Y	0.277	-6.465143e-01	4.862902e+00	5.218612e+00	8.943481e-01	0	 Rasrelated associated with diabetes 
1	rs31868650	10809088	0	X	Y	0.278	-8.439575e-01	4.918371e+00	5.227800e+00	8.639053e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000023	-9	0	X	Y	0.274	1.064119e+00	4.981606e+00	5.351858e+00	8.310367e-01	0	 Rasrelated associated with diabetes 
1	rs6360236	11083825	0	X	Y	0.274	1.064119e+00	4.981606e+00	5.351858e+00	8.310367e-01	0	 Rasrelated associated with diabetes 
1	rs32740138	11416077	0	X	Y	0.275	6.217565e-01	4.971248e+00	5.309942e+00	9.005747e-01	0	 Rasrelated associated with diabetes 
-9	rs249962268_01Mit1	-9	0	X	Y	0.275	6.217565e-01	4.971248e+00	5.309942e+00	9.005747e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000280	-9	0	X	Y	0.275	6.217565e-01	4.971248e+00	5.309942e+00	9.005747e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000024	-9	0	X	Y	0.270	5.750692e-01	4.998012e+00	5.316429e+00	9.084962e-01	0	 Rasrelated associated with diabetes 
1	rs30991578	11793253	0	X	Y	0.271	6.215097e-01	5.010381e+00	5.331004e+00	9.013861e-01	0	 Rasrelated associated with diabetes 
1	rs32347261	12740981	0	X	Y	0.271	6.215097e-01	5.010381e+00	5.331004e+00	9.013861e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000292	-9	0	X	Y	0.271	6.215097e-01	5.010381e+00	5.331004e+00	9.013861e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000025	-9	0	X	Y	0.259	1.716869e+00	5.035936e+00	5.419527e+00	7.334657e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000306	-9	0	X	Y	0.259	1.716869e+00	5.035936e+00	5.419527e+00	7.334657e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000026	-9	0	X	Y	0.262	8.610308e-01	5.043080e+00	5.340316e+00	8.645790e-01	0	 Rasrelated associated with diabetes 
1	rs36585555	12938444	0	X	Y	0.262	8.610308e-01	5.043080e+00	5.340316e+00	8.645790e-01	0	 Rasrelated associated with diabetes 
1	rs30477285	12994801	0	X	Y	0.263	6.633732e-01	5.038479e+00	5.324961e+00	8.953648e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000308	-9	0	X	Y	0.263	6.633732e-01	5.038479e+00	5.324961e+00	8.953648e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000027	-9	0	X	Y	0.266	-3.534023e-01	5.046863e+00	5.239310e+00	9.442340e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000309	-9	0	X	Y	0.264	-6.647774e-01	5.074293e+00	5.232390e+00	8.958804e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000028	-9	0	X	Y	0.264	-6.647774e-01	5.074293e+00	5.232390e+00	8.958804e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000317	-9	0	X	Y	0.264	-6.647774e-01	5.074293e+00	5.232390e+00	8.958804e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000318	-9	0	X	Y	0.267	-1.094802e+00	5.121733e+00	5.214106e+00	8.309226e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000029	-9	0	X	Y	0.267	-1.094802e+00	5.121733e+00	5.214106e+00	8.309226e-01	0	 Rasrelated associated with diabetes 
1	rs32223513	13055719	0	X	Y	0.267	-1.094802e+00	5.121733e+00	5.214106e+00	8.309226e-01	0	 Rasrelated associated with diabetes 
1	rs45688852	13073341	0	X	Y	0.267	-1.094802e+00	5.121733e+00	5.214106e+00	8.309226e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000030	-9	0	X	Y	0.267	-1.094802e+00	5.121733e+00	5.214106e+00	8.309226e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000327	-9	0	X	Y	0.267	-1.094802e+00	5.121733e+00	5.214106e+00	8.309226e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000328	-9	0	X	Y	0.266	-1.855251e+00	5.098947e+00	5.194403e+00	7.162973e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000031	-9	0	X	Y	0.266	-1.855251e+00	5.098947e+00	5.194403e+00	7.162973e-01	0	 Rasrelated associated with diabetes 
1	rs48988706	13842623	0	X	Y	0.266	-1.855251e+00	5.098947e+00	5.194403e+00	7.162973e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000329	-9	0	X	Y	0.265	-1.714425e+00	5.019469e+00	5.181546e+00	7.329910e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000032	-9	0	X	Y	0.263	-1.033247e+00	4.994515e+00	5.190861e+00	8.362855e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000330	-9	0	X	Y	0.263	-1.033247e+00	4.994515e+00	5.190861e+00	8.362855e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000033	-9	0	X	Y	0.261	-9.056749e-01	4.965508e+00	5.211163e+00	8.554314e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000034	-9	0	X	Y	0.261	-9.056749e-01	4.965508e+00	5.211163e+00	8.554314e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000339	-9	0	X	Y	0.250	7.092690e-01	4.809159e+00	5.256239e+00	8.828773e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000340	-9	0	X	Y	0.250	7.092690e-01	4.809159e+00	5.256239e+00	8.828773e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000035	-9	0	X	Y	0.252	-6.227589e-02	4.818844e+00	5.229642e+00	9.896999e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000343	-9	0	X	Y	0.261	-9.056749e-01	4.965508e+00	5.211163e+00	8.554314e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000036	-9	0	X	Y	0.261	-9.056749e-01	4.965508e+00	5.211163e+00	8.554314e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000344	-9	0	X	Y	0.261	-9.056749e-01	4.965508e+00	5.211163e+00	8.554314e-01	0	 Rasrelated associated with diabetes 
1	rs31710291	13855369	0	X	Y	0.263	-1.107553e+00	5.048167e+00	5.222880e+00	8.265311e-01	0	 Rasrelated associated with diabetes 
1	rs31794283	13860415	0	X	Y	0.263	-1.107553e+00	5.048167e+00	5.222880e+00	8.265311e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000345	-9	0	X	Y	0.263	-1.107553e+00	5.048167e+00	5.222880e+00	8.265311e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000037	-9	0	X	Y	0.265	-2.581004e+00	5.018928e+00	5.288898e+00	6.075577e-01	0	 Rasrelated associated with diabetes 
1	rs6296049	13890559	0	X	Y	0.265	-2.581004e+00	5.018928e+00	5.288898e+00	6.075577e-01	0	 Rasrelated associated with diabetes 
1	rs32381514	14567972	0	X	Y	0.265	-2.581004e+00	5.018928e+00	5.288898e+00	6.075577e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000346	-9	0	X	Y	0.265	-2.581004e+00	5.018928e+00	5.288898e+00	6.075577e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000038	-9	0	X	Y	0.262	-3.655220e+00	5.025734e+00	5.468759e+00	4.677656e-01	0	 Rasrelated associated with diabetes 
1	rs31577697	14576853	0	X	Y	0.262	-3.655220e+00	5.025734e+00	5.468759e+00	4.677656e-01	0	 Rasrelated associated with diabetes 
1	rs30996958	14748117	0	X	Y	0.262	-3.655220e+00	5.025734e+00	5.468759e+00	4.677656e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000364	-9	0	X	Y	0.262	-3.655220e+00	5.025734e+00	5.468759e+00	4.677656e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000039	-9	0	X	Y	0.264	-5.138632e+00	5.015969e+00	5.674243e+00	3.066740e-01	0	 Rasrelated associated with diabetes 
