chr	rs	ps	n_miss	allele1	allele0	af	beta	se	l_remle	p_wald	0	 Rasrelated associated with diabetes 
1	rs31443144	3010274	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs6269442	3492195	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs32285189	3511204	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs258367496	3659804	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs32430919	3777023	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs36251697	3812265	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs30658298	4430623	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs31879829	4518714	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs36742481	4776319	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs6365999	4820983	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
1	rs13470446	4846561	0	X	Y	0.263	-1.599099e+00	4.676229e+00	2.916066e-02	7.326842e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000111	-9	0	X	Y	0.267	-1.775671e+00	4.661140e+00	3.256964e-02	7.035829e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000112	-9	0	X	Y	0.271	-2.071570e+00	4.724174e+00	4.343424e-02	6.614238e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000008	-9	0	X	Y	0.268	-1.815920e+00	4.687146e+00	4.467715e-02	6.987919e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000002	-9	0	X	Y	0.268	-1.815920e+00	4.687146e+00	4.467715e-02	6.987919e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000009	-9	0	X	Y	0.268	-1.815920e+00	4.687146e+00	4.467715e-02	6.987919e-01	0	 Rasrelated associated with diabetes 
1	rs6376963	5018010	0	X	Y	0.270	-2.160166e+00	4.690789e+00	4.477590e-02	6.455744e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000120	-9	0	X	Y	0.270	-2.160166e+00	4.690789e+00	4.477590e-02	6.455744e-01	0	 Rasrelated associated with diabetes 
-9	rsm10000000010	-9	0	X	Y	0.272	-1.309744e+00	4.692215e+00	3.978427e-02	7.803895e-01	0	 Rasrelated associated with diabetes 
1	rs30847416	5025197	0	X	Y	0.272	-1.309744e+00	4.692215e+00	3.978427e-02	7.803895e-01	0	 Rasrelated associated with diabetes 
1	rs31625087	5119671	0	X	Y	0.272	-1.309744e+00	4.692215e+00	3.978427e-02	7.803895e-01	0	 Rasrelated associated with diabetes 
1	rs31716357	5155818	0	X	Y	0.272	-1.309744e+00	4.692215e+00	3.978427e-02	7.803895e-01	0	 Rasrelated associated with diabetes 
